# Weather station Yahotyn, Ukraine, WMO_ID=33356,selection from 27.10.2017 till 27.10.2018, all days
# Encoding: ANSI
# The data is provided by the website "Reliable Prognosis", rp5.ua 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ua/archive.php?wmo_id=33356&lang=en
#
"Local time in Yahotyn";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.10.2018 18:00";"12.2";"747.8";"759.1";"";"63";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.10.2018 15:00";"7.7";"749.1";"760.6";"";"82";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.10.2018 12:00";"3.3";"749.6";"761.3";"";"94";"Wind blowing from the south";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"27.10.2018 09:00";"0.7";"749.5";"761.3";"";"100";"Wind blowing from the south";"1";"";"";"";" ";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";
"27.10.2018 06:00";"0.5";"749.5";"761.3";"";"100";"Calm, no wind";"0";"";"";"";" ";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";
"27.10.2018 03:00";"1.1";"748.8";"760.6";"";"96";"Wind blowing from the west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";"";
"27.10.2018 00:00";"3.5";"747.5";"759.1";"";"95";"Wind blowing from the west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"26.10.2018 21:00";"5.1";"745.3";"756.8";"";"92";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.10.2018 18:00";"7.9";"743.9";"755.3";"";"71";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.10.2018 15:00";"5.1";"743.1";"754.6";"";"92";"Wind blowing from the west";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"26.10.2018 12:00";"3.3";"741.6";"753.1";"";"95";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";"";
"26.10.2018 09:00";"3.3";"741.6";"753.1";"";"95";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";"";
"26.10.2018 06:00";"2.7";"740.1";"751.6";"";"94";"Wind blowing from the south-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"26.10.2018 03:00";"3.3";"738.6";"750.1";"";"91";"Wind blowing from the south-west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"26.10.2018 00:00";"2.2";"739.2";"750.8";"";"89";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"25.10.2018 21:00";"3.5";"739.3";"750.8";"";"81";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.10.2018 18:00";"4.5";"740.1";"751.6";"";"76";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.10.2018 15:00";"4.5";"738.7";"750.1";"";"87";"Wind blowing from the north-west";"5";"";"";"";" ";"Shower(s).";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.10.2018 12:00";"5.7";"737.9";"749.3";"";"83";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.10.2018 09:00";"5.1";"736.4";"747.8";"";"92";"Wind blowing from the north-west";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"25.10.2018 06:00";"4.7";"734.9";"746.3";"";"95";"Wind blowing from the west";"2";"";"";"";" ";"Shower(s).";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";"";
"25.10.2018 03:00";"3.7";"733.4";"744.8";"";"93";"Wind blowing from the west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"25.10.2018 00:00";"4.1";"732.7";"744.1";"";"92";"Wind blowing from the west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"24.10.2018 21:00";"4.9";"731.5";"742.9";"";"86";"Wind blowing from the west-northwest";"4";"";"";"60%.";" ";"";"";"";"7.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"2.7";"2.0";"12";"";"";"";"";
"24.10.2018 18:00";"6.8";"730.6";"741.8";"";"74";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.10.2018 15:00";"7.0";"729.1";"740.3";"";"84";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.10.2018 12:00";"7.7";"729.1";"740.3";"";"87";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.10.2018 09:00";"7.7";"731.4";"742.6";"";"82";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.10.2018 06:00";"7.5";"732.9";"744.1";"";"86";"Wind blowing from the south-west";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";"";
"24.10.2018 03:00";"7.3";"735.8";"747.1";"";"96";"Wind blowing from the south-west";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"24.10.2018 00:00";"6.9";"739.4";"750.8";"";"93";"Wind blowing from the south-west";"4";"";"";"";" ";"Rain.";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"23.10.2018 21:00";"7.7";"742.0";"753.6";"";"79";"Wind blowing from the south-southwest";"3";"";"";"100%.";" ";"";"";"";"9.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus translucidus.";"";"14.0";"4.3";"";"";"";"";"";"";
"23.10.2018 18:00";"8.0";"744.7";"756.1";"";"76";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.10.2018 15:00";"8.8";"746.6";"758.2";"";"75";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"16.0";"4.5";"";"";"";"";"";"";
"23.10.2018 12:00";"9.0";"749.2";"760.6";"";"64";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.10.2018 09:00";"2.9";"750.4";"762.1";"";"93";"Wind blowing from the south-west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"23.10.2018 06:00";"0.9";"751.0";"762.8";"";"94";"Wind blowing from the south-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";"";
"23.10.2018 03:00";"1.3";"752.5";"764.3";"";"96";"Wind blowing from the south-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";"";
"23.10.2018 00:00";"0.7";"753.3";"765.1";"";"96";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";"";
"22.10.2018 21:00";"3.9";"754.1";"765.8";"";"92";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"22.10.2018 18:00";"9.9";"755.1";"766.6";"";"67";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.10.2018 15:00";"12.0";"755.9";"767.3";"";"52";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.10.2018 12:00";"9.8";"756.6";"768.1";"";"63";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.10.2018 09:00";"2.7";"757.0";"768.8";"";"86";"Wind blowing from the north-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"22.10.2018 06:00";"2.1";"757.0";"768.8";"";"94";"Wind blowing from the north";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"22.10.2018 03:00";"3.7";"757.0";"768.8";"";"91";"Wind blowing from the north-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"22.10.2018 00:00";"5.5";"757.1";"768.8";"";"86";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
